RF,nodes Count,
RF_15_pruned_with_sigma_0_0_t11,935,
RF_15_pruned_with_sigma_0_1_t11,1599,
RF_15_pruned_with_sigma_0_2_t11,1152,
RF_15_pruned_with_sigma_0_3_t11,906,
RF_15_t12,67,
RF_15_pruned_with_sigma_0_0_t12,689,
RF_15_pruned_with_sigma_0_1_t12,1450,
RF_15_pruned_with_sigma_0_2_t12,1075,
RF_15_pruned_with_sigma_0_3_t12,859,
RF_15_t13,34,
RF_15_pruned_with_sigma_0_0_t13,557,
RF_15_pruned_with_sigma_0_1_t13,1298,
RF_15_pruned_with_sigma_0_2_t13,1007,
RF_15_pruned_with_sigma_0_3_t13,813,
RF_15_t14,9,
RF_15_pruned_with_sigma_0_0_t14,500,
RF_15_pruned_with_sigma_0_1_t14,1172,
RF_15_pruned_with_sigma_0_2_t14,928,
RF_15_pruned_with_sigma_0_3_t14,775,
RF_15_t15,3,
RF_15_pruned_with_sigma_0_0_t15,457,
RF_15_pruned_with_sigma_0_1_t15,1041,
RF_15_pruned_with_sigma_0_2_t15,858,
RF_15_pruned_with_sigma_0_3_t15,714,
RF_15_t16,2,
RF_15_pruned_with_sigma_0_0_t16,433,
RF_15_pruned_with_sigma_0_1_t16,931,
RF_15_pruned_with_sigma_0_2_t16,798,
RF_15_pruned_with_sigma_0_3_t16,667,
RF_15_t17,1,
RF_15_pruned_with_sigma_0_0_t17,412,
RF_15_pruned_with_sigma_0_1_t17,826,
RF_15_pruned_with_sigma_0_2_t17,746,
RF_15_pruned_with_sigma_0_3_t17,627,
RF_15_t18,1,
RF_15_pruned_with_sigma_0_0_t18,393,
RF_15_pruned_with_sigma_0_1_t18,742,
RF_15_pruned_with_sigma_0_2_t18,675,
RF_15_pruned_with_sigma_0_3_t18,585,
RF_15_t19,1,
RF_15_pruned_with_sigma_0_0_t19,372,
RF_15_pruned_with_sigma_0_1_t19,646,
RF_15_pruned_with_sigma_0_2_t19,633,
RF_15_pruned_with_sigma_0_3_t19,557,
RF_15_t20,1,
RF_15_pruned_with_sigma_0_0_t20,363,
RF_15_pruned_with_sigma_0_1_t20,559,
RF_15_pruned_with_sigma_0_2_t20,587,
RF_15_pruned_with_sigma_0_3_t20,529,
RF_15_t21,1,
RF_15_pruned_with_sigma_0_0_t21,344,
RF_15_pruned_with_sigma_0_1_t21,501,
RF_15_pruned_with_sigma_0_2_t21,529,
RF_15_pruned_with_sigma_0_3_t21,490,
RF_15_t22,1,
RF_15_pruned_with_sigma_0_0_t22,317,
RF_15_pruned_with_sigma_0_1_t22,450,
RF_15_pruned_with_sigma_0_2_t22,478,
RF_15_pruned_with_sigma_0_3_t22,450,
RF_15_t23,1,
RF_15_pruned_with_sigma_0_0_t23,278,
RF_15_pruned_with_sigma_0_1_t23,407,
RF_15_pruned_with_sigma_0_2_t23,432,
RF_15_pruned_with_sigma_0_3_t23,414,
RF_15_t24,1,
RF_15_pruned_with_sigma_0_0_t24,203,
RF_15_pruned_with_sigma_0_1_t24,364,
RF_15_pruned_with_sigma_0_2_t24,391,
RF_15_pruned_with_sigma_0_3_t24,384,
RF_15_t25,1,
RF_15_pruned_with_sigma_0_0_t25,101,
RF_15_pruned_with_sigma_0_1_t25,296,
RF_15_pruned_with_sigma_0_2_t25,335,
RF_15_pruned_with_sigma_0_3_t25,345,
RF_20_t2,27242,
RF_20_pruned_with_sigma_0_0_t2,12784,
RF_20_pruned_with_sigma_0_1_t2,10546,
RF_20_pruned_with_sigma_0_2_t2,17276,
RF_20_pruned_with_sigma_0_3_t2,23630,
RF_20_t3,12205,
RF_20_pruned_with_sigma_0_0_t3,10861,
RF_20_pruned_with_sigma_0_1_t3,4147,
RF_20_pruned_with_sigma_0_2_t3,3675,
RF_20_pruned_with_sigma_0_3_t3,4424,
RF_20_t4,5751,
RF_20_pruned_with_sigma_0_0_t4,9289,
RF_20_pruned_with_sigma_0_1_t4,3576,
RF_20_pruned_with_sigma_0_2_t4,2303,
RF_20_pruned_with_sigma_0_3_t4,1952,
RF_20_t5,3128,
RF_20_pruned_with_sigma_0_0_t5,7654,
