RF,nodes Count,accuracy,
RF_20_t4_pruned_with_sigma_0_3,431,0.8615298458528425,
RF_20_t5,154,0.9084798068050647,
RF_20_t5_pruned_with_sigma_0_0,355,0.913471542381312,
RF_20_t5_pruned_with_sigma_0_1,262,0.9069445970517451,
RF_20_t5_pruned_with_sigma_0_2,228,0.9128186588122149,
RF_20_t5_pruned_with_sigma_0_3,243,0.9056449735881069,
RF_20_t6,101,0.8997888702609526,
RF_20_t6_pruned_with_sigma_0_0,234,0.9160717344892892,
RF_20_t6_pruned_with_sigma_0_1,226,0.9049850011637537,
RF_20_t6_pruned_with_sigma_0_2,186,0.9171679078070744,
RF_20_t6_pruned_with_sigma_0_3,176,0.9021681263801116,
RF_20_t7,60,0.8789240062901775,
RF_20_t7_pruned_with_sigma_0_0,152,0.9160665359954347,
RF_20_t7_pruned_with_sigma_0_1,200,0.8943245443342913,
RF_20_t7_pruned_with_sigma_0_2,157,0.9115138368547221,
RF_20_t7_pruned_with_sigma_0_3,134,0.9195566157332417,
RF_20_t8,41,0.868498190569696,
RF_20_t8_pruned_with_sigma_0_0,117,0.9095414810272697,
RF_20_t8_pruned_with_sigma_0_1,169,0.8895409848074017,
RF_20_t8_pruned_with_sigma_0_2,135,0.8991175556681895,
RF_20_t8_pruned_with_sigma_0_3,116,0.9160811862962976,
RF_20_t9,32,0.8580789911141199,
RF_20_t9_pruned_with_sigma_0_0,94,0.9141093030591954,
RF_20_t9_pruned_with_sigma_0_1,153,0.8917177359614081,
RF_20_t9_pruned_with_sigma_0_2,132,0.8989004004021744,
RF_20_t9_pruned_with_sigma_0_3,103,0.9004337197940924,
RF_20_t10,18,0.7685179212168256,
RF_20_t10_pruned_with_sigma_0_0,74,0.9093285790744081,
RF_20_t10_pruned_with_sigma_0_1,136,0.8973727520944614,
RF_20_t10_pruned_with_sigma_0_2,114,0.9023748846584176,
RF_20_t10_pruned_with_sigma_0_3,96,0.9004346649747932,
RF_20_t11,11,0.6981274788840724,
RF_20_t11_pruned_with_sigma_0_0,63,0.9104219168500908,
RF_20_t11_pruned_with_sigma_0_1,124,0.8960684027273189,
RF_20_t11_pruned_with_sigma_0_2,106,0.8917234070456133,
RF_20_t11_pruned_with_sigma_0_3,91,0.8999989366717115,
RF_20_t12,7,0.6650967215225916,
RF_20_t12_pruned_with_sigma_0_0,61,0.9108552822014204,
RF_20_t12_pruned_with_sigma_0_1,112,0.8864998659024881,
RF_20_t12_pruned_with_sigma_0_2,94,0.8745501825970965,
RF_20_t12_pruned_with_sigma_0_3,83,0.8926085687719386,
RF_20_t13,5,0.6568410406912106,
RF_20_t13_pruned_with_sigma_0_0,59,0.9115081657705172,
RF_20_t13_pruned_with_sigma_0_1,100,0.8880190075838936,
RF_20_t13_pruned_with_sigma_0_2,88,0.8747668652727614,
RF_20_t13_pruned_with_sigma_0_3,81,0.8941300734050962,
RF_20_t14,4,0.6559700566753979,
RF_20_t14_pruned_with_sigma_0_0,53,0.911732882482139,
RF_20_t14_pruned_with_sigma_0_1,86,0.8788843087007429,
RF_20_t14_pruned_with_sigma_0_2,85,0.8806362011297273,
RF_20_t14_pruned_with_sigma_0_3,78,0.8930433518943193,
RF_20_t15,3,0.6557571547225363,
RF_20_t15_pruned_with_sigma_0_0,48,0.9110814166840935,
RF_20_t15_pruned_with_sigma_0_1,77,0.8680133128701712,
RF_20_t15_pruned_with_sigma_0_2,79,0.8715019748369267,
RF_20_t15_pruned_with_sigma_0_3,72,0.8908675459210136,
RF_20_t16,2,0.5108006980159475,
RF_20_t16_pruned_with_sigma_0_0,47,0.9102123230296822,
RF_20_t16_pruned_with_sigma_0_1,70,0.8634450182478949,
RF_20_t16_pruned_with_sigma_0_2,73,0.8697604793956515,
RF_20_t16_pruned_with_sigma_0_3,72,0.8908675459210136,
RF_20_t17,1,0.6059553473007412,
RF_20_t17_pruned_with_sigma_0_0,42,0.884345326494951,
RF_20_t17_pruned_with_sigma_0_1,62,0.8567127324110733,
RF_20_t17_pruned_with_sigma_0_2,68,0.8560697732393351,
RF_20_t17_pruned_with_sigma_0_3,67,0.886298778708387,
RF_20_t18,1,0.6059553473007412,
RF_20_t18_pruned_with_sigma_0_0,41,0.8876040732562303,
RF_20_t18_pruned_with_sigma_0_1,57,0.8493162208367447,
RF_20_t18_pruned_with_sigma_0_2,61,0.8508575742646197,
RF_20_t18_pruned_with_sigma_0_3,60,0.8843448539046005,
RF_20_t19,1,0.6059553473007412,
RF_20_t19_pruned_with_sigma_0_0,36,0.8952078156992151,
