RF,nodes Count,accuracy,
RF_10_t19_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_10_t19_pruned_with_sigma_0_1,8,0.393476299791878,
RF_10_t19_pruned_with_sigma_0_2,25,0.4981113319283188,
RF_10_t19_pruned_with_sigma_0_3,37,0.5505340670379344,
RF_10_t20,1,0.24171349360811673,
RF_10_t20_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_10_t20_pruned_with_sigma_0_1,6,0.3792606612662399,
RF_10_t20_pruned_with_sigma_0_2,21,0.4782846420523377,
RF_10_t20_pruned_with_sigma_0_3,34,0.5505343209520112,
RF_10_t21,1,0.24171349360811673,
RF_10_t21_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_10_t21_pruned_with_sigma_0_1,5,0.38284394565335667,
RF_10_t21_pruned_with_sigma_0_2,18,0.45010935676435204,
RF_10_t21_pruned_with_sigma_0_3,30,0.6178488567343929,
RF_10_t22,1,0.24171349360811673,
RF_10_t22_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_10_t22_pruned_with_sigma_0_1,5,0.38284394565335667,
RF_10_t22_pruned_with_sigma_0_2,12,0.45169683981100794,
RF_10_t22_pruned_with_sigma_0_3,22,0.48751682083837544,
RF_10_t23,1,0.24171349360811673,
RF_10_t23_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_10_t23_pruned_with_sigma_0_1,4,0.3765333067024691,
RF_10_t23_pruned_with_sigma_0_2,9,0.476223456398787,
RF_10_t23_pruned_with_sigma_0_3,17,0.4584330004925416,
RF_10_t24,1,0.24171349360811673,
RF_10_t24_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_10_t24_pruned_with_sigma_0_1,3,0.3708978224101315,
RF_10_t24_pruned_with_sigma_0_2,5,0.34072198873733295,
RF_10_t24_pruned_with_sigma_0_3,12,0.41174267706796197,
RF_10_t25,1,0.24171349360811673,
RF_10_t25_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_10_t25_pruned_with_sigma_0_1,2,0.3375400786263824,
RF_10_t25_pruned_with_sigma_0_2,3,0.3492614472215967,
RF_10_t25_pruned_with_sigma_0_3,5,0.3348178591374366,
RF_15_t2,1535,0.6776344179543148,
RF_15_t2_pruned_with_sigma_0_0,1315,0.698609373027499,
RF_15_t2_pruned_with_sigma_0_1,1026,0.7377444985327202,
RF_15_t2_pruned_with_sigma_0_2,1148,0.7086804523883197,
RF_15_t2_pruned_with_sigma_0_3,1457,0.7260390786989994,
RF_15_t3,1168,0.5897464844109337,
RF_15_t3_pruned_with_sigma_0_0,1072,0.5958280967915058,
RF_15_t3_pruned_with_sigma_0_1,746,0.7070019237580096,
RF_15_t3_pruned_with_sigma_0_2,522,0.7541915438679991,
RF_15_t3_pruned_with_sigma_0_3,484,0.6965022664129314,
RF_15_t4,906,0.6404562859218068,
RF_15_t4_pruned_with_sigma_0_0,889,0.6665727459141179,
RF_15_t4_pruned_with_sigma_0_1,664,0.6666454049855138,
RF_15_t4_pruned_with_sigma_0_2,427,0.7078878772203913,
RF_15_t4_pruned_with_sigma_0_3,345,0.7814549810775965,
RF_15_t5,682,0.6060018539439274,
RF_15_t5_pruned_with_sigma_0_0,723,0.6068531609935622,
RF_15_t5_pruned_with_sigma_0_1,609,0.6720602041952436,
RF_15_t5_pruned_with_sigma_0_2,401,0.6884602654608232,
RF_15_t5_pruned_with_sigma_0_3,320,0.7474034652175825,
RF_15_t6,502,0.6719943889009208,
RF_15_t6_pruned_with_sigma_0_0,576,0.5897242983137911,
RF_15_t6_pruned_with_sigma_0_1,523,0.6801723870138454,
RF_15_t6_pruned_with_sigma_0_2,379,0.7044754181990601,
RF_15_t6_pruned_with_sigma_0_3,297,0.7360740936272115,
RF_15_t7,338,0.675152077005118,
RF_15_t7_pruned_with_sigma_0_0,431,0.7101360404811897,
RF_15_t7_pruned_with_sigma_0_1,445,0.7045351091576549,
RF_15_t7_pruned_with_sigma_0_2,353,0.7141756130846446,
RF_15_t7_pruned_with_sigma_0_3,281,0.7351754802883642,
RF_15_t8,208,0.6787608145701772,
RF_15_t8_pruned_with_sigma_0_0,306,0.7351548234540177,
RF_15_t8_pruned_with_sigma_0_1,364,0.7158121482979769,
RF_15_t8_pruned_with_sigma_0_2,322,0.7243310926174764,
RF_15_t8_pruned_with_sigma_0_3,263,0.7435309148144198,
RF_15_t9,133,0.6370722972263712,
RF_15_t9_pruned_with_sigma_0_0,225,0.7543371458827631,
RF_15_t9_pruned_with_sigma_0_1,305,0.7169392923692547,
RF_15_t9_pruned_with_sigma_0_2,304,0.7121569722456563,
RF_15_t9_pruned_with_sigma_0_3,244,0.7523393395475477,
RF_15_t10,91,0.7164347039727657,
