DSF,accuracy,
RF_20_pruned_with_sigma_0_2_t14,0.5468652233762983,
RF_20_pruned_with_sigma_0_3_t14,0.5956701288950069,
RF_20_t15,0.5469903641596796,
RF_20_pruned_with_sigma_0_0_t15,0.518708547115505,
RF_20_pruned_with_sigma_0_1_t15,0.518708547115505,
RF_20_pruned_with_sigma_0_2_t15,0.5282192466524841,
RF_20_pruned_with_sigma_0_3_t15,0.5457389563258666,
RF_20_t16,0.5551245150794644,
RF_20_pruned_with_sigma_0_0_t16,0.518708547115505,
RF_20_pruned_with_sigma_0_1_t16,0.518708547115505,
RF_20_pruned_with_sigma_0_2_t16,0.522462770616944,
RF_20_pruned_with_sigma_0_3_t16,0.5387310724565135,
RF_20_t17,0.5566262044800401,
RF_20_pruned_with_sigma_0_0_t17,0.518708547115505,
RF_20_pruned_with_sigma_0_1_t17,0.518708547115505,
RF_20_pruned_with_sigma_0_2_t17,0.5209610812163684,
RF_20_pruned_with_sigma_0_3_t17,0.5270929796020523,
RF_20_t18,0.5635089475660118,
RF_20_pruned_with_sigma_0_0_t18,0.5194593918157928,
RF_20_pruned_with_sigma_0_1_t18,0.518708547115505,
RF_20_pruned_with_sigma_0_2_t18,0.5209610812163684,
RF_20_pruned_with_sigma_0_3_t18,0.525341008634714,
RF_20_t19,0.57677387060443,
RF_20_pruned_with_sigma_0_0_t19,0.5208359404329871,
RF_20_pruned_with_sigma_0_1_t19,0.518708547115505,
RF_20_pruned_with_sigma_0_2_t19,0.5189588286822675,
RF_20_pruned_with_sigma_0_3_t19,0.5235890376673757,
RF_20_t20,0.5728945063196096,
RF_20_pruned_with_sigma_0_0_t20,0.5227130521837067,
RF_20_pruned_with_sigma_0_1_t20,0.518708547115505,
RF_20_pruned_with_sigma_0_2_t20,0.518708547115505,
RF_20_pruned_with_sigma_0_3_t20,0.5210862219997497,
RF_20_t21,0.5663871855837818,
RF_20_pruned_with_sigma_0_0_t21,0.5315980478037793,
RF_20_pruned_with_sigma_0_1_t21,0.518708547115505,
RF_20_pruned_with_sigma_0_2_t21,0.518708547115505,
RF_20_pruned_with_sigma_0_3_t21,0.5205856588662245,
RF_20_t22,0.5730196471029909,
RF_20_pruned_with_sigma_0_0_t22,0.5458640971092479,
RF_20_pruned_with_sigma_0_1_t22,0.518708547115505,
RF_20_pruned_with_sigma_0_2_t22,0.518708547115505,
RF_20_pruned_with_sigma_0_3_t22,0.518708547115505,
RF_20_t23,0.5770241521711926,
RF_20_pruned_with_sigma_0_0_t23,0.5657614816668752,
RF_20_pruned_with_sigma_0_1_t23,0.518708547115505,
RF_20_pruned_with_sigma_0_2_t23,0.518708547115505,
RF_20_pruned_with_sigma_0_3_t23,0.518708547115505,
RF_20_t24,0.5855337254411213,
RF_20_pruned_with_sigma_0_0_t24,0.5768990113878113,
RF_20_pruned_with_sigma_0_1_t24,0.518708547115505,
RF_20_pruned_with_sigma_0_2_t24,0.518708547115505,
RF_20_pruned_with_sigma_0_3_t24,0.518708547115505,
RF_20_t25,0.5860342885746465,
RF_20_pruned_with_sigma_0_0_t25,0.5822800650732074,
RF_20_pruned_with_sigma_0_1_t25,0.518708547115505,
RF_20_pruned_with_sigma_0_2_t25,0.518708547115505,
RF_20_pruned_with_sigma_0_3_t25,0.518708547115505,
Best ,RF_5_pruned_with_sigma_0_2_t2,0.7430859717181829,
