DSF,accuracy,
RF_10_pruned_with_sigma_0_3_t25,0.6867726191965962,
RF_15_t2,0.7196846452258792,
RF_15_pruned_with_sigma_0_0_t2,0.6979101489175322,
RF_15_pruned_with_sigma_0_1_t2,0.7016643724189714,
RF_15_pruned_with_sigma_0_2_t2,0.6668752346389688,
RF_15_pruned_with_sigma_0_3_t2,0.6507320735827806,
RF_15_t3,0.7160555625078213,
RF_15_pruned_with_sigma_0_0_t3,0.7354523839319234,
RF_15_pruned_with_sigma_0_1_t3,0.6457264422475285,
RF_15_pruned_with_sigma_0_2_t3,0.6531097484670254,
RF_15_pruned_with_sigma_0_3_t3,0.629458140407959,
RF_15_t4,0.660743336253285,
RF_15_pruned_with_sigma_0_0_t4,0.6513577774996872,
RF_15_pruned_with_sigma_0_1_t4,0.6781379051432862,
RF_15_pruned_with_sigma_0_2_t4,0.6878988862470279,
RF_15_pruned_with_sigma_0_3_t4,0.6921536728819923,
RF_15_t5,0.6696283318733576,
RF_15_pruned_with_sigma_0_0_t5,0.6075585033162307,
RF_15_pruned_with_sigma_0_1_t5,0.6168189212864472,
RF_15_pruned_with_sigma_0_2_t5,0.617945188336879,
RF_15_pruned_with_sigma_0_3_t5,0.6065573770491803,
RF_15_t6,0.6828932549117758,
RF_15_pruned_with_sigma_0_0_t6,0.6254536353397572,
RF_15_pruned_with_sigma_0_1_t6,0.6516080590664498,
RF_15_pruned_with_sigma_0_2_t6,0.6322112376423477,
RF_15_pruned_with_sigma_0_3_t6,0.5935427355775247,
RF_15_t7,0.6110624452509072,
RF_15_pruned_with_sigma_0_0_t7,0.5969215367288199,
RF_15_pruned_with_sigma_0_1_t7,0.6345889125265924,
RF_15_pruned_with_sigma_0_2_t7,0.6671255162057315,
RF_15_pruned_with_sigma_0_3_t7,0.6576148166687523,
RF_15_t8,0.5949192841947191,
RF_15_pruned_with_sigma_0_0_t8,0.5338505819046427,
RF_15_pruned_with_sigma_0_1_t8,0.6289575772744337,
RF_15_pruned_with_sigma_0_2_t8,0.6732574145914153,
RF_15_pruned_with_sigma_0_3_t8,0.6563634088349393,
RF_15_t9,0.589538230509323,
RF_15_pruned_with_sigma_0_0_t9,0.522838192967088,
RF_15_pruned_with_sigma_0_1_t9,0.5651357777499687,
RF_15_pruned_with_sigma_0_2_t9,0.6213239894881742,
RF_15_pruned_with_sigma_0_3_t9,0.6357151795770242,
RF_15_t10,0.5740207733700413,
