RF,comparisons Count,accuracy,
RF_10_t11_pruned_with_sigma_0_2,131.0,0.7634465897272855,
RF_10_t11_pruned_with_sigma_0_3,135.0,0.7704494348526882,
RF_10_t12,3.0,0.44243574339170555,
RF_10_t12_pruned_with_sigma_0_0,6.0,0.4984246279011744,
RF_10_t12_pruned_with_sigma_0_1,60.0,0.714850947256806,
RF_10_t12_pruned_with_sigma_0_2,110.0,0.7614177760823823,
RF_10_t12_pruned_with_sigma_0_3,121.0,0.7736066592966169,
RF_10_t13,1.0,0.307538038179693,
RF_10_t13_pruned_with_sigma_0_0,1.0,0.307538038179693,
RF_10_t13_pruned_with_sigma_0_1,43.0,0.6553383701956077,
RF_10_t13_pruned_with_sigma_0_2,84.0,0.7530734881569601,
RF_10_t13_pruned_with_sigma_0_3,103.0,0.7686488974994781,
RF_10_t14,0.0,0.24171349360811673,
RF_10_t14_pruned_with_sigma_0_0,1.0,0.307538038179693,
RF_10_t14_pruned_with_sigma_0_1,32.0,0.6311610921861949,
RF_10_t14_pruned_with_sigma_0_2,74.0,0.7366119533776045,
RF_10_t14_pruned_with_sigma_0_3,90.0,0.7623351971842566,
RF_10_t15,0.0,0.24171349360811673,
RF_10_t15_pruned_with_sigma_0_0,1.0,0.307538038179693,
RF_10_t15_pruned_with_sigma_0_1,27.0,0.6555287024251851,
RF_10_t15_pruned_with_sigma_0_2,61.0,0.7113559341675058,
RF_10_t15_pruned_with_sigma_0_3,75.0,0.7445215246490418,
RF_10_t16,0.0,0.24171349360811673,
RF_10_t16_pruned_with_sigma_0_0,1.0,0.307538038179693,
RF_10_t16_pruned_with_sigma_0_1,20.0,0.6239617990040804,
RF_10_t16_pruned_with_sigma_0_2,46.0,0.6824929863332361,
RF_10_t16_pruned_with_sigma_0_3,66.0,0.7275937695298362,
RF_10_t17,0.0,0.24171349360811673,
RF_10_t17_pruned_with_sigma_0_0,1.0,0.307538038179693,
RF_10_t17_pruned_with_sigma_0_1,16.0,0.4453239082937923,
RF_10_t17_pruned_with_sigma_0_2,38.0,0.6511886650494737,
RF_10_t17_pruned_with_sigma_0_3,49.0,0.7016534488423449,
RF_10_t18,0.0,0.24171349360811673,
RF_10_t18_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_10_t18_pruned_with_sigma_0_1,9.0,0.39369873019814866,
RF_10_t18_pruned_with_sigma_0_2,31.0,0.5107353909043592,
RF_10_t18_pruned_with_sigma_0_3,43.0,0.6815857609761509,
RF_10_t19,0.0,0.24171349360811673,
RF_10_t19_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_10_t19_pruned_with_sigma_0_1,7.0,0.393476299791878,
RF_10_t19_pruned_with_sigma_0_2,24.0,0.4981113319283188,
RF_10_t19_pruned_with_sigma_0_3,36.0,0.5505340670379344,
RF_10_t20,0.0,0.24171349360811673,
RF_10_t20_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_10_t20_pruned_with_sigma_0_1,5.0,0.3792606612662399,
RF_10_t20_pruned_with_sigma_0_2,20.0,0.4782846420523377,
RF_10_t20_pruned_with_sigma_0_3,33.0,0.5505343209520112,
RF_10_t21,0.0,0.24171349360811673,
RF_10_t21_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_10_t21_pruned_with_sigma_0_1,4.0,0.38284394565335667,
RF_10_t21_pruned_with_sigma_0_2,17.0,0.45010935676435204,
RF_10_t21_pruned_with_sigma_0_3,29.0,0.6178488567343929,
RF_10_t22,0.0,0.24171349360811673,
RF_10_t22_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_10_t22_pruned_with_sigma_0_1,4.0,0.38284394565335667,
RF_10_t22_pruned_with_sigma_0_2,11.0,0.45169683981100794,
RF_10_t22_pruned_with_sigma_0_3,21.0,0.48751682083837544,
RF_10_t23,0.0,0.24171349360811673,
RF_10_t23_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_10_t23_pruned_with_sigma_0_1,3.0,0.3765333067024691,
RF_10_t23_pruned_with_sigma_0_2,8.0,0.476223456398787,
RF_10_t23_pruned_with_sigma_0_3,16.0,0.4584330004925416,
RF_10_t24,0.0,0.24171349360811673,
RF_10_t24_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_10_t24_pruned_with_sigma_0_1,2.0,0.3708978224101315,
RF_10_t24_pruned_with_sigma_0_2,4.0,0.34072198873733295,
RF_10_t24_pruned_with_sigma_0_3,11.0,0.41174267706796197,
RF_10_t25,0.0,0.24171349360811673,
RF_10_t25_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_10_t25_pruned_with_sigma_0_1,1.0,0.3375400786263824,
RF_10_t25_pruned_with_sigma_0_2,2.0,0.3492614472215967,
RF_10_t25_pruned_with_sigma_0_3,4.0,0.3348178591374366,
RF_15_t2,219.9,0.6776344179543148,
RF_15_t2_pruned_with_sigma_0_0,219.2,0.698609373027499,
RF_15_t2_pruned_with_sigma_0_1,259.2,0.7377444985327202,
